,term,result
75,Frontotemporal Dementia,
76,Narcissistic Personality Disorder,"Narcissistic personality disorder Also called: NPD A disorder in which a person has an inflated sense of self-importance. Narcissistic personality disorder is found more commonly in men. The cause is unknown but likely involves a combination of genetic and environmental factors. Symptoms include an excessive need for admiration, disregard for others' feelings, an inability to handle any criticism, and a sense of entitlement. The disorder needs to be diagnosed by a professional. Treatment involves talk therapy. Rare Fewer than 200,000 US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
77,Schizophreniform Disorder,
78,Obsessive-Compulsive Personality Disorder,
79,Erectile Disorder," Symptoms: Sexual dysfunction Erectile dysfunction Also called: ED, impotence Occurs when a man can't get or keep an erection firm enough for sexual intercourse. Erectile dysfunction can be a sign of a physical or psychological condition. It can cause stress, relationship strain, and low self-confidence. The main symptom is a man's inability to get or keep an erection firm enough for sexual intercourse. Patients suffering from erectile dysfunction should first be evaluated for any underlying physical and psychological conditions. If treatment of the underlying conditions doesn't help, medications and assistive devices, such as pumps, can be prescribed. Very common More than 3 million US cases per year Treatable by a medical professional Usually self-diagnosable Lab tests or imaging rarely required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
80,Oppositional Defiant Disorder,"Oppositional defiant disorder Also called: ODD A disorder in a child marked by defiant and disobedient behavior to authority figures. The cause of oppositional defiant disorder is unknown but likely involves a combination of genetic and environmental factors. Symptoms generally begin before a child is eight years old. They include irritable mood, argumentative and defiant behavior, aggression, and vindictiveness that last more than six months and cause significant problems at home or school. Treatment involves individual and family therapy. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Requires a medical diagnosis Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
81,Antisocial Personality Disorder,"Antisocial personality disorder Also called: ASPD A mental health disorder characterized by disregard for other people. Those with antisocial personality disorder (ASPD) may begin to show symptoms in childhood, but the condition can't be diagnosed until adolescence or adulthood. Those with antisocial personality disorder tend to lie, break laws, act impulsively, and lack regard for their own safety or the safety of others. Symptoms may lessen with age. Treatment may include talk therapy and support for affected family members. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
82,Vocal Tic Disorder,
83,Autism Spectrum Disorder,
84,Somatic Symptom Disorder,
85,Stimulant Use Disorder,
86,Sexual Sadism Disorder,
87,Language Disorder,
88,Excoriation,
89,Conduct Disorder,
90,Obstructive Sleep Apnea," Obstructive sleep apnea Also called: OSA Intermittent airflow blockage during sleep. Obstructive sleep apnea is seen in all age groups, but the frequency increases with age and obesity. Symptoms include snoring and daytime sleepiness. Weight loss, sleeping on one's side, and decreasing alcohol consumption can help. The delivery of pressure via a face or nasal mask (CPAP) is often prescribed. Other common treatments include an oral device and surgery. Very common More than 3 million US cases per year Treatable by a medical professional Requires a medical diagnosis Lab tests or imaging often required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
91,Speech Sound Disorder,
92,Brief Psychotic Disorder,
93,Depressive Disorder Due to Another Medical Condition,
94,Schizoaffective Disorder,"Schizoaffective disorder A mental health condition including schizophrenia and mood disorder symptoms. Schizoaffective disorder is a combination of symptoms of schizophrenia and mood disorder, such as depression or bipolar disorder. Symptoms may occur at the same time or at different times. Cycles of severe symptoms are often followed by periods of improvement. Symptoms may include delusions, hallucinations, depressed episodes, and manic periods of high energy. People with this disorder generally do best with a combination of medications and counseling. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
95,Illness Anxiety Disorder,"Hypochondria Also called: health anxiety Obsession with the idea of having a serious but undiagnosed medical condition. Hypochondriasis usually develops during adulthood. Symptoms include a long-term and intense fear of having a serious condition and worry that minor symptoms indicate something serious. A person may frequently visit or switch doctors. Counseling and medications may help. Common More than 200,000 US cases per year Treatable by a medical professional Chronic: can last for years or be lifelong Requires a medical diagnosis Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
96,Sleep Terrors,"Night terror Episodes of screaming, intense fear, and flailing while still asleep, often paired with sleepwalking. COMMON CAUSES Night terrors can have causes that aren't due to underlying disease. If they occur infrequently, it's a normal stage of childhood development. They also can be caused by nightmares. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more Self-treatment  Seeking medical care       HEALTH CONDITIONS RELATED TO THIS SEARCH Anxiety disorder A mental health disorder characterised by feelings of worry, anxiety or fear that are strong enough to interfere with one's daily activities. Symptoms may include Excessive worry Intrusive thought Fatigue Post traumatic stress disorder A disorder in which a person has difficulty recovering after experiencing or witnessing a terrifying event. Symptoms may include Night terror Intrusive thought Lack of pleasure Substance abuse Excessive use of psychoactive drugs, such as alcohol, pain medications, or illegal drugs. It can lead to physical, social, or emotional harm. Sleepwalking The act of getting up and walking around while asleep. Symptoms may include Night terror Inability to recall sleepwalking after awakening Fatigue Sleep deprivation Sleep deprivation, also known as insufficient sleep or sleeplessness, is the condition of not having enough sleep. It can be either chronic or acute and may vary widely in severity.<br /> A chronic sleep-restricted state adversely affects the brain and cognitive function. However, in a subset of cases, sleep deprivation can, paradoxically, lead to increased energy and alertness and enhanced mood; although its long-term consequences have never been evaluated, it has even been used as a treatment for depression.<br /> Few studies have compared the effects of acute total sleep deprivation and chronic partial sleep restriction. Complete absence of sleep over long periods is not frequent in humans; it appears that brief microsleeps cannot be avoided. Long-term total sleep deprivation has caused death in lab animals. "
97,Control Fallacies,
98,Factitious Disorder,Includes Diseases: Factitious disorder imposed on self 
99,Substance-Induced Anxiety Disorder,
100,Intellectual Developmental Disorder," Intellectual disability Below average intelligence and set of life skills present before age 18. Intellectual function can be measured with a test. The main symptom is difficulty thinking and understanding. Life skills that can be impacted include certain conceptual, social, and practical skills. Special education and behavioral therapy can help a person live to his or her fullest. Very common More than 3 million US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Requires a medical diagnosis Lab tests or imaging rarely required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
101,Tobacco Withdrawal,
102,Mild Neurocognitive Disorder,
103,Opioid Intoxication,"Opioid overdose Physical and mental symptoms that occur after taking too many opioids, a substance found in certain prescription pain medications and illegal drugs like heroin. An overdose can be life-threatening and requires immediate emergency care. People who take high doses of opioid painkillers, are middle-aged, have a history of substance abuse, or are taking other sedatives are at highest risk. Symptoms may include shallow breathing, confusion, lessened alertness, and loss of consciousness. Opioid overdose is a medical emergency and emergency services should be called immediately. Treatments include medications like naloxone that reverse the effects of opioids. A breathing machine can help if breathing is impaired. Common More than 200,000 US cases per year Treatable by a medical professional Usually self-diagnosable Lab tests or imaging often required Short-term: resolves within days to weeks Critical: needs emergency care For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
104,Dependent Personality Disorder,
105,Schizotypal Personality Disorder,
106,Panic Disorder,"Panic attack Sudden episode of intense fear or anxiety and physical symptoms, based on a perceived threat rather than imminent danger. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more Self-treatment  Seeking medical care       HEALTH CONDITIONS RELATED TO THIS SEARCH Stress Pressure or tension that results from a demanding situation. Stress can be physical, emotional, psychological, or a combination of these. Anxiety disorder A mental health disorder characterised by feelings of worry, anxiety or fear that are strong enough to interfere with one's daily activities. Symptoms may include Panic attack Excessive worry Intrusive thought Post traumatic stress disorder A disorder in which a person has difficulty recovering after experiencing or witnessing a terrifying event. Symptoms may include Panic attack Intrusive thought Lack of pleasure Generalized anxiety disorder Severe, ongoing anxiety that interferes with daily activities. Symptoms may include Panic attack Severe anxiety Excessive worry Agoraphobia Fear of places and situations that might cause panic, helplessness, or embarrassment. Symptoms may include Panic attack Fear Apprehension "
107,Emotional Reasoning (CBT),
108,Hair-Pulling Disorder,"Trichotillomania Also called: TTM A disorder that involves recurrent, irresistible urges to pull out body hair. The urges involve pulling out hair from the scalp, eyebrows, or other areas of the body. Symptoms include compulsive hair pulling and hair loss, such as bald patches on the scalp. Social and work functioning may be affected. Treatment options include counseling and medications, such as antidepressants. Common More than 200,000 US cases per year Treatable by a medical professional Usually self-diagnosable Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
109,Generalized Anxiety Disorder,"Treatments: Cognitive behavioral therapy Generalized anxiety disorder Also called: GAD Severe, ongoing anxiety that interferes with daily activities. Generalized anxiety disorder can occur at any age. The condition has symptoms similar to panic disorder, obsessive-compulsive disorder, and other types of anxiety. These symptoms include constant worry, restlessness, and trouble with concentration. Treatment may include counseling and medications, such as antidepressants. Very common More than 3 million US cases per year Treatable by a medical professional Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
110,Shoulds (CBT),
111,Substance or Medication-Induced Depressive Disorder,
112,Black and White Thinking,
113,Obsessive-Compulsive Disorder,"Obsessive compulsive disorder Also called: OCD Source Excessive thoughts (obsessions) that lead to repetitive behaviors (compulsions). Obsessive-compulsive disorder is characterized by unreasonable thoughts and fears (obsessions) that lead to compulsive behaviors. OCD often centers on themes such as a fear of germs or the need to arrange objects in a specific manner. Symptoms usually begin gradually and vary throughout life. Treatment includes talk therapy, medications, or both. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Requires a medical diagnosis Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more RELATED CONDITIONS Tourette syndrome A nervous system disorder involving repetitive movements or unwanted sounds. Trichotillomania A disorder that involves recurrent, irresistible urges to pull out body hair. Anorexia An eating disorder causing people to obsess about weight and what they eat. Bulimia A serious eating disorder marked by binging, followed by methods to avoid weight gain. Anxiety disorder A mental health disorder characterized by feelings of worry, anxiety, or fear that are strong enough to interfere with one's daily activities Post traumatic stress disorder A disorder in which a person has difficulty recovering after experiencing or witnessing a terrifying event. Psychosis A mental disorder characterized by a disconnection from reality. Clinical depression A mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Agoraphobia Fear of places and situations that might cause panic, helplessness, or embarrassment. Autism A serious developmental disorder that impairs the ability to communicate and interact. Bipolar disorder A disorder associated with episodes of mood swings ranging from depressive lows to manic highs. Schizoaffective disorder A mental health condition including schizophrenia and mood disorder symptoms. Attention-deficit/hyperactivity disorder A chronic condition including attention difficulty, hyperactivity, and impulsiveness. Hypochondria Obsession with the idea of having a serious but undiagnosed medical condition. Body dysmorphic disorder A mental illness involving obsessive focus on a perceived flaw in appearance. Alcohol use disorder A chronic disease characterized by uncontrolled drinking and preoccupation with alcohol. Bipolar II disorder A type of bipolar disorder characterized by depressive and hypomanic episodes. Separation anxiety A disorder in which a child becomes excessively anxious when separated from parents. Generalized anxiety disorder Severe, ongoing anxiety that interferes with daily activities. Persistent depressive disorder A mild but long-term form of depression. "
114,Phencyclidine Use Disorder,
115,Tourette’s Disorder,"Tourette syndrome Also called: Tourette's A nervous system disorder involving repetitive movements or unwanted sounds. Tourette syndrome starts in childhood. It involves uncontrollable repetitive movements or unwanted sounds (tics), such as repeatedly blinking the eyes, shrugging shoulders, or blurting out offensive words. Treatment may include medication or psychological therapies. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Usually self-diagnosable Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
116,Alcohol Intoxication,"Fetal alcohol syndrome Also called: FAS, alcohol poisoning, fetal alcohol effects A disturbance in behavior or mental function during or after alcohol consumption. This condition can be prevented by abstaining from alcohol during pregnancy. Distinctive facial features, learning disabilities, bone and joint deformities, heart defects, and hyperactivity are some symptoms. Alcohol intoxication is managed with rest, hydration, and stopping alcohol use. Severe cases require hospital admission, intravenous fluids, observation, and supportive care. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
117,Premenstrual Dysphoric Disorder,"Symptoms: Depression (mood); Irritability; Anxiety Treatments: Selective serotonin reuptake inhibitor Premenstrual dysphoric disorder Also called: PMDD A severe, sometimes disabling extension of premenstrual syndrome. Premenstrual dysphoric disorder (PMDD) is a severe form of premenstrual syndrome that includes physical and behavioral symptoms that usually resolve with the onset of menstruation. PMDD causes extreme mood shifts that can disrupt work and damage relationships. Symptoms include extreme sadness, hopelessness, irritability, or anger, plus common premenstrual syndrome symptoms such as breast tenderness and bloating. Drugs and lifestyle changes may help. Very common More than 3 million US cases per year Treatable by a medical professional Usually self-diagnosable Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
118,Motor Tic Disorder,
119,Medication-Induced Psychotic Disorder,
120,Conversion Disorder,
121,Cannabis Withdrawal,
122,Avoidant Personality Disorder,"Avoidant personality disorder Also called: AVPD A disorder characterized by social discomfort and avoidance of interpersonal contact. Someone who has avoidant personality disorder avoids intimate and social contact with others. People with this condition may be extremely shy, fear ridicule, and be overly concerned with looking foolish. Talk therapy is the main treatment. Drugs, including antidepressants, may help some symptoms. Rare Fewer than 200,000 US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
123,Always Being Right (CBT),
124,Pyromania,"Symptoms: Impulsive starting of fires Causes: Parental neglect, early physical or em... "
125,Catastrophizing," Description
A cognitive distortion is an exaggerated or irrational thought pattern involved in the onset and perpetuation of psychopathological states, especially those more influenced by psychosocial factors, such as depression and anxiety. Wikipedia "
126,Global Developmental Delay,
127,Hypopnea,
128,Global Labeling (CBT),
129,Body Dysmorphic Disorder,"Treatments: Cognitive behavioral therapy Body dysmorphic disorder Also called: BDD, body dysmorphia A mental illness involving obsessive focus on a perceived flaw in appearance. The flaw may be minor or imagined. But the person may spend hours a day trying to fix it. The person may try many cosmetic procedures or exercise to excess. People with this disorder may frequently examine their appearance in a mirror, constantly compare their appearance with that of others, and avoid social situations or photos. Treatment may include counseling and antidepressant medication. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
130,Delirium,"Delirium Serious disturbance in mental abilities that results in confused thinking and reduced awareness of surroundings. COMMON CAUSES Delirium can have causes that aren't due to underlying disease. Examples include intoxication or sleep deprivation. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more See a doctor immediately if you or someone else suddenly Sees or hears things that other people don't Becomes confused and doesn't know where they are No longer recognizes the people around them HEALTH CONDITIONS RELATED TO THIS SEARCH Substance abuse Excessive use of psychoactive drugs, such as alcohol, pain medications, or illegal drugs. It can lead to physical, social, or emotional harm. Alcohol withdrawal Symptoms that occur when someone stops using alcohol after a period of heavy drinking. Symptoms may include Fast heart rate Agitation Motor restlessness Dehydration A dangerous loss of body fluid caused by illness, sweating, or inadequate intake. Urinary tract infection An infection in any part of the urinary system, the kidneys, bladder, or urethra. Symptoms may include Discomfort when urinating Foul smelling urine Vaginal irritation Hypoglycemia Low blood sugar, the body's main source of energy. Symptoms may include Vomiting Fatigue Unsteadiness "
131,Depression,"Clinical depression Also called: Major depression A mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Possible causes include a combination of biological, psychological, and social sources of distress. Increasingly, research suggests these factors may cause changes in brain function, including altered activity of certain neural circuits in the brain. The persistent feeling of sadness or loss of interest that characterizes major depression can lead to a range of behavioral and physical symptoms. These may include changes in sleep, appetite, energy level, concentration, daily behavior, or self-esteem. Depression can also be associated with thoughts of suicide. The mainstay of treatment is usually medication, talk therapy, or a combination of the two. Increasingly, research suggests these treatments may normalize brain changes associated with depression. Very common More than 3 million US cases per year Treatable by a medical professional Medium-term: resolves within months Requires a medical diagnosis Lab tests or imaging rarely required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
132,Major Depressive Disorder,"Clinical depression Also called: Major depression A mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Possible causes include a combination of biological, psychological, and social sources of distress. Increasingly, research suggests these factors may cause changes in brain function, including altered activity of certain neural circuits in the brain. The persistent feeling of sadness or loss of interest that characterizes major depression can lead to a range of behavioral and physical symptoms. These may include changes in sleep, appetite, energy level, concentration, daily behavior, or self-esteem. Depression can also be associated with thoughts of suicide. The mainstay of treatment is usually medication, talk therapy, or a combination of the two. Increasingly, research suggests these treatments may normalize brain changes associated with depression. Very common More than 3 million US cases per year Treatable by a medical professional Medium-term: resolves within months Requires a medical diagnosis Lab tests or imaging rarely required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
133,Rapid Eye Movement Sleep Behavior Disorder,
134,Pedophilic Disorder,
135,Transvestic Disorder,
136,Intermittent Explosive Disorder,
137,Histrionic Personality Disorder,"Histrionic personality disorder Also called: HPD A mental health condition that affects the way a person thinks, perceives, and relates to others. Genes play a role in the development of personality disorders. Abuse or instability during childhood also may increase risk. A person with histrionic personality disorder seeks attention, talks dramatically with strong opinions, is easily influenced, has rapidly changing emotions, and thinks relationships are closer than they are. Treatments typically include talk therapy. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
138,Filtering,"Signal processing Description
In signal processing, a filter is a device or process that removes some unwanted components or features from a signal. Filtering is a class of signal processing, the defining feature of filters being the complete or partial suppression of some aspect of the signal. Wikipedia "
139,Reactive Attachment Disorder,
140,Separation Anxiety Disorder,"Separation anxiety A disorder in which a child becomes excessively anxious when separated from parents. Children are especially prone to separation anxiety during times of stress. Separation anxiety differs from normal clinginess. Children with the disorder can't think about anything but the present fear of separation. They may have nightmares or regular physical complaints. They may be reluctant to go to school or other places. Treatment includes talk therapy and possibly anti-anxiety medication. Common More than 200,000 US cases per year Usually self-treatable Usually self-diagnosable Lab tests or imaging not required Medium-term: resolves within months For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
141,Stuttering,"Treatments: Cognitive behavioral therapy Stuttering A speech disorder involving frequent problems with the normal fluency and flow of speech. COMMON CAUSES Stuttering can have causes that aren't due to underlying disease. Examples include family history of stuttering or nervousness. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more See a doctor if your stuttering Occurs with other speech or language problems Occurs with muscle tightening or visible struggling to speak Adversely affects school, work, or social relationships Begins as an adult HEALTH CONDITIONS RELATED TO THIS SEARCH Stress Pressure or tension that results from a demanding situation. Stress can be physical, emotional, psychological, or a combination of these. Psychological trauma Mental health problems, such as anxiety or depression, that happen after an extremely difficult life event. Tourette syndrome A nervous system disorder involving repetitive movements or unwanted sounds. Symptoms may include Stuttering Tic Compulsive behavior Stroke Think you're having a Stroke? Call 911 immediately. Damage to the brain from interruption of its blood supply. Symptoms may include Numbness of limbs Balance disorder Difficulty swallowing Cleft lip and cleft palate Openings or splits in the roof of the mouth and lip. Symptoms may include Stuttering Deformity Feeding difficulties "
142,Kleptomania,"Kleptomania An impulse control disorder that results in an irresistible urge to steal. The cause of kleptomania remains unknown but risk factors include a family history of kleptomania or other impulse control disorders. It occurs more often in women. Kleptomania is a serious disorder that causes an irresistible urge to steal items that aren't needed and are usually of little value. Consequences can include job loss, financial penalties, and trouble with the law. No cure exists. But treatment with talk therapy and medication, such as antidepressants, may help end the cycle of compulsive stealing. Rare Fewer than 200,000 US cases per year Treatment can help, but this condition can't be cured Usually self-diagnosable Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
143,Delusional Disorder,
144,Delayed Ejaculation,
145,Lewy Body Dementia,"Description
Lewy body dementia is an umbrella term that encompasses two similar dementias, both of which are characterized by abnormal deposits of the protein alpha-synuclein in the brain: dementia with Lewy bodies, and Parkinson's disease dementia. Wikipedia People also search for: Dementia with Lewy bodies, Dementia, MORE "
146,Fallacy of Change (CBT), 
147,Specific Phobia,
148,Premature Ejaculation,
149,Dysthymia,"Persistent depressive disorder Also called: Dysthymia A mild but long-term form of depression. Dysthymia is defined as a low mood occurring for at least two years, along with at least two other symptoms of depression. Examples of symptoms include lost interest in normal activities, hopelessness, low self-esteem, low appetite, low energy, sleep changes, and poor concentration. Treatments include medications and talk therapy. Very common More than 3 million US cases per year Treatable by a medical professional Requires a medical diagnosis Lab tests or imaging rarely required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
150,Fetishistic Disorder,
151,Adjustment Disorders,
152,Rumination Disorder,"Rumination syndrome A condition where a person spits up food from the stomach, rechews it, and either swallows it again or spits it out. It tends to occur within 30 minutes of every meal. The cause is unknown. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more See a doctor if you Experience recurrent symptoms Get heartburn Feel pain Lose weight "
153,Neurodevelopmental Disorder,
154,All or nothing thinking, 
155,Alcohol Withdrawal,"Alcohol withdrawal Symptoms that occur when someone stops using alcohol after a period of heavy drinking. Symptoms of alcohol withdrawal can vary widely in severity. In severe cases, the condition can be life-threatening. Symptoms may occur from two hours to four days after stopping alcohol. They may include headaches, nausea, tremors, anxiety, hallucinations, and seizures. In many cases, alcohol withdrawal requires medical treatment and hospital admissions. Medications may be used to treat physical symptoms while counseling and support groups help with controlling drinking behavior. Common More than 200,000 US cases per year Treatable by a medical professional Usually self-diagnosable Lab tests or imaging not required Short-term: resolves within days to weeks Critical: needs emergency care For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
156,Genito-Pelvic Pain/Penetration Disorder,
157,Cognitive Behavioral Therapy (CBT),"Description
Cognitive behavioral therapy is a psycho-social intervention that aims to improve mental health. CBT focuses on challenging and changing unhelpful cognitive distortions and behaviors, improving emotional regulation, and the development of personal coping strategies that target solving current problems. Wikipedia People also search for: Dialectical behavior therapy, MORE Founder: Aaron T. Beck simplypsychology.org Mind Over Mood Cognitive Behavioral Therapy... Cognitive Behavioural Therapy... Retrain Your Brain: C...  "
158,Intellectual Disability,"Intellectual disability Below average intelligence and set of life skills present before age 18. Intellectual function can be measured with a test. The main symptom is difficulty thinking and understanding. Life skills that can be impacted include certain conceptual, social, and practical skills. Special education and behavioral therapy can help a person live to his or her fullest. Very common More than 3 million US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Requires a medical diagnosis Lab tests or imaging rarely required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
159,Social Anxiety Disorder,"Social anxiety disorder Also called: SAD, social phobia A chronic mental health condition in which social interactions cause irrational anxiety. For people with social anxiety disorder, everyday social interactions cause irrational anxiety, fear, self-consciousness, and embarrassment. Symptoms may include excess fear of situations in which one may be judged, worry about embarrassment or humiliation, or concern about offending someone. Talk therapy and antidepressants can help increase confidence and improve ability to interact with others. Common More than 200,000 US cases per year Treatable by a medical professional Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
160,Persistent Depressive Disorder,"Persistent depressive disorder Also called: Dysthymia A mild but long-term form of depression. Dysthymia is defined as a low mood occurring for at least two years, along with at least two other symptoms of depression. Examples of symptoms include lost interest in normal activities, hopelessness, low self-esteem, low appetite, low energy, sleep changes, and poor concentration. Treatments include medications and talk therapy. Very common More than 3 million US cases per year Treatable by a medical professional Requires a medical diagnosis Lab tests or imaging rarely required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
161,Sleepwalking,"Sleepwalking Also called: somnambulism Source The act of getting up and walking around while asleep. Sleepwalking is most common in children, who usually outgrow it by their teens. Sleepwalking usually occurs one to two hours after falling asleep at night. Rarely, it may involve unusual behaviors, such as climbing out a window or urinating in a closet. Often, sleepwalking is a random, harmless event. Treatment may be needed if it occurs often or causes injury. Medications and hypnosis may help. Very common More than 3 million US cases per year Treatment can help, but this condition can't be cured Usually self-diagnosable Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
162,Bipolar I Disorder,
163,Hypersomnolence Disorder,
